Property,Parameter,Event Number,Event Name,Parameter Value
Y, Prior distribution paramter 1, 21,Fault,9221.434664
Y, Prior distribution paramter 2, 21,Fault,9481.434664
Z, Prior distribution type, 21,Fault,Uniform
Z, Prior distribution paramter 1, 21,Fault,3870.0
Z, Prior distribution paramter 2, 21,Fault,4130.0
XAxis, Prior distribution type, 21,Fault,Uniform
XAxis, Prior distribution paramter 1, 21,Fault,2356.7998031
XAxis, Prior distribution paramter 2, 21,Fault,2604.8839929
YAxis, Prior distribution type, 21,Fault,Uniform
YAxis, Prior distribution paramter 1, 21,Fault,2356.7998031
YAxis, Prior distribution paramter 2, 21,Fault,2604.8839929
ZAxis, Prior distribution type, 21,Fault,Uniform
ZAxis, Prior distribution paramter 1, 21,Fault,2356.7998031
ZAxis, Prior distribution paramter 2, 21,Fault,2604.8839929
Dip, Prior distribution type, 21,Fault,Uniform
Dip, Prior distribution paramter 1, 21,Fault,60
Dip, Prior distribution paramter 2, 21,Fault,80
Dip Direction, Prior distribution type, 21,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 21,Fault,285.25019
Dip Direction, Prior distribution paramter 2, 21,Fault,305.25019
Slip, Prior distribution type, 21,Fault,Uniform
Slip, Prior distribution paramter 1, 21,Fault,158.7738816
Slip, Prior distribution paramter 2, 21,Fault,198.467352
X, Prior distribution type, 22,Fault,Uniform
X, Prior distribution paramter 1, 22,Fault,3181.27245
X, Prior distribution paramter 2, 22,Fault,3441.27245
Y, Prior distribution type, 22,Fault,Uniform
Y, Prior distribution paramter 1, 22,Fault,6932.35841
Y, Prior distribution paramter 2, 22,Fault,7192.35841
Z, Prior distribution type, 22,Fault,Uniform
Z, Prior distribution paramter 1, 22,Fault,3870.0
Z, Prior distribution paramter 2, 22,Fault,4130.0
XAxis, Prior distribution type, 22,Fault,Uniform
XAxis, Prior distribution paramter 1, 22,Fault,828.7982333499999
XAxis, Prior distribution paramter 2, 22,Fault,916.04015265
YAxis, Prior distribution type, 22,Fault,Uniform
YAxis, Prior distribution paramter 1, 22,Fault,828.7982333499999
YAxis, Prior distribution paramter 2, 22,Fault,916.04015265
ZAxis, Prior distribution type, 22,Fault,Uniform
ZAxis, Prior distribution paramter 1, 22,Fault,828.7982333499999
ZAxis, Prior distribution paramter 2, 22,Fault,916.04015265
Dip, Prior distribution type, 22,Fault,Uniform
Dip, Prior distribution paramter 1, 22,Fault,60
Dip, Prior distribution paramter 2, 22,Fault,80
Dip Direction, Prior distribution type, 22,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 22,Fault,306.77864
Dip Direction, Prior distribution paramter 2, 22,Fault,326.77864
Slip, Prior distribution type, 22,Fault,Uniform
Slip, Prior distribution paramter 1, 22,Fault,55.83482800000001
Slip, Prior distribution paramter 2, 22,Fault,69.793535
X, Prior distribution type, 23,Fault,Uniform
X, Prior distribution paramter 1, 23,Fault,3958.852478
X, Prior distribution paramter 2, 23,Fault,4218.852478
Y, Prior distribution type, 23,Fault,Uniform
Y, Prior distribution paramter 1, 23,Fault,7832.368059
Y, Prior distribution paramter 2, 23,Fault,8092.368059
Z, Prior distribution type, 23,Fault,Uniform
Z, Prior distribution paramter 1, 23,Fault,3870.0
Z, Prior distribution paramter 2, 23,Fault,4130.0
XAxis, Prior distribution type, 23,Fault,Uniform
XAxis, Prior distribution paramter 1, 23,Fault,469.0928335
XAxis, Prior distribution paramter 2, 23,Fault,518.4710265
YAxis, Prior distribution type, 23,Fault,Uniform
YAxis, Prior distribution paramter 1, 23,Fault,469.0928335
YAxis, Prior distribution paramter 2, 23,Fault,518.4710265
ZAxis, Prior distribution type, 23,Fault,Uniform
ZAxis, Prior distribution paramter 1, 23,Fault,469.0928335
ZAxis, Prior distribution paramter 2, 23,Fault,518.4710265
Dip, Prior distribution type, 23,Fault,Uniform
Dip, Prior distribution paramter 1, 23,Fault,60
Dip, Prior distribution paramter 2, 23,Fault,80
Dip Direction, Prior distribution type, 23,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 23,Fault,332.008727
Dip Direction, Prior distribution paramter 2, 23,Fault,352.008727
Slip, Prior distribution type, 23,Fault,Uniform
Slip, Prior distribution paramter 1, 23,Fault,31.602043200000004
Slip, Prior distribution paramter 2, 23,Fault,39.502554
X, Prior distribution type, 24,Fault,Uniform
X, Prior distribution paramter 1, 24,Fault,3992.227
X, Prior distribution paramter 2, 24,Fault,4252.227
Y, Prior distribution type, 24,Fault,Uniform
Y, Prior distribution paramter 1, 24,Fault,8073.876
Y, Prior distribution paramter 2, 24,Fault,8333.876
Z, Prior distribution type, 24,Fault,Uniform
Z, Prior distribution paramter 1, 24,Fault,3870.0
Z, Prior distribution paramter 2, 24,Fault,4130.0
XAxis, Prior distribution type, 24,Fault,Uniform
XAxis, Prior distribution paramter 1, 24,Fault,668.7258439499999
XAxis, Prior distribution paramter 2, 24,Fault,739.11803805
YAxis, Prior distribution type, 24,Fault,Uniform
YAxis, Prior distribution paramter 1, 24,Fault,668.7258439499999
YAxis, Prior distribution paramter 2, 24,Fault,739.11803805
ZAxis, Prior distribution type, 24,Fault,Uniform
ZAxis, Prior distribution paramter 1, 24,Fault,668.7258439499999
ZAxis, Prior distribution paramter 2, 24,Fault,739.11803805
Dip, Prior distribution type, 24,Fault,Uniform
Dip, Prior distribution paramter 1, 24,Fault,60
Dip, Prior distribution paramter 2, 24,Fault,80
Dip Direction, Prior distribution type, 24,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 24,Fault,39.794227
Dip Direction, Prior distribution paramter 2, 24,Fault,59.794227
Slip, Prior distribution type, 24,Fault,Uniform
Slip, Prior distribution paramter 1, 24,Fault,45.051004000000006
Slip, Prior distribution paramter 2, 24,Fault,56.313755
X, Prior distribution type, 25,Fault,Uniform
X, Prior distribution paramter 1, 25,Fault,3652.255604
X, Prior distribution paramter 2, 25,Fault,3912.255604
Y, Prior distribution type, 25,Fault,Uniform
Y, Prior distribution paramter 1, 25,Fault,8053.463792
Y, Prior distribution paramter 2, 25,Fault,8313.463791999999
Z, Prior distribution type, 25,Fault,Uniform
Z, Prior distribution paramter 1, 25,Fault,3870.0
Z, Prior distribution paramter 2, 25,Fault,4130.0
XAxis, Prior distribution type, 25,Fault,Uniform
XAxis, Prior distribution paramter 1, 25,Fault,371.3242466
XAxis, Prior distribution paramter 2, 25,Fault,410.41100940000007
YAxis, Prior distribution type, 25,Fault,Uniform
YAxis, Prior distribution paramter 1, 25,Fault,371.3242466
YAxis, Prior distribution paramter 2, 25,Fault,410.41100940000007
ZAxis, Prior distribution type, 25,Fault,Uniform
ZAxis, Prior distribution paramter 1, 25,Fault,371.3242466
ZAxis, Prior distribution paramter 2, 25,Fault,410.41100940000007
Dip, Prior distribution type, 25,Fault,Uniform
Dip, Prior distribution paramter 1, 25,Fault,60
Dip, Prior distribution paramter 2, 25,Fault,80
Dip Direction, Prior distribution type, 25,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 25,Fault,40.707954
Dip Direction, Prior distribution paramter 2, 25,Fault,60.707954
Slip, Prior distribution type, 25,Fault,Uniform
Slip, Prior distribution paramter 1, 25,Fault,25.015528000000003
Slip, Prior distribution paramter 2, 25,Fault,31.26941
X, Prior distribution type, 26,Fault,Uniform
X, Prior distribution paramter 1, 26,Fault,7391.253339
X, Prior distribution paramter 2, 26,Fault,7651.253339
Y, Prior distribution type, 26,Fault,Uniform
Y, Prior distribution paramter 1, 26,Fault,6794.774821
Y, Prior distribution paramter 2, 26,Fault,7054.774821
Z, Prior distribution type, 26,Fault,Uniform
Z, Prior distribution paramter 1, 26,Fault,3870.0
Z, Prior distribution paramter 2, 26,Fault,4130.0
XAxis, Prior distribution type, 26,Fault,Uniform
XAxis, Prior distribution paramter 1, 26,Fault,1110.52105065
XAxis, Prior distribution paramter 2, 26,Fault,1227.41800335
YAxis, Prior distribution type, 26,Fault,Uniform
YAxis, Prior distribution paramter 1, 26,Fault,1110.52105065
YAxis, Prior distribution paramter 2, 26,Fault,1227.41800335
ZAxis, Prior distribution type, 26,Fault,Uniform
ZAxis, Prior distribution paramter 1, 26,Fault,1110.52105065
ZAxis, Prior distribution paramter 2, 26,Fault,1227.41800335
Dip, Prior distribution type, 26,Fault,Uniform
Dip, Prior distribution paramter 1, 26,Fault,60
Dip, Prior distribution paramter 2, 26,Fault,80
Dip Direction, Prior distribution type, 26,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 26,Fault,33.653758
Dip Direction, Prior distribution paramter 2, 26,Fault,53.653758
Slip, Prior distribution type, 26,Fault,Uniform
Slip, Prior distribution paramter 1, 26,Fault,74.8140496
Slip, Prior distribution paramter 2, 26,Fault,93.517562
X, Prior distribution type, 27,Fault,Uniform
X, Prior distribution paramter 1, 27,Fault,6940.201989
X, Prior distribution paramter 2, 27,Fault,7200.201989
Y, Prior distribution type, 27,Fault,Uniform
Y, Prior distribution paramter 1, 27,Fault,6464.314129
Y, Prior distribution paramter 2, 27,Fault,6724.314129
Z, Prior distribution type, 27,Fault,Uniform
Z, Prior distribution paramter 1, 27,Fault,3870.0
Z, Prior distribution paramter 2, 27,Fault,4130.0
XAxis, Prior distribution type, 27,Fault,Uniform
XAxis, Prior distribution paramter 1, 27,Fault,1087.8167052000001
XAxis, Prior distribution paramter 2, 27,Fault,1202.3237268
YAxis, Prior distribution type, 27,Fault,Uniform
YAxis, Prior distribution paramter 1, 27,Fault,1087.8167052000001
YAxis, Prior distribution paramter 2, 27,Fault,1202.3237268
ZAxis, Prior distribution type, 27,Fault,Uniform
ZAxis, Prior distribution paramter 1, 27,Fault,1087.8167052000001
ZAxis, Prior distribution paramter 2, 27,Fault,1202.3237268
Dip, Prior distribution type, 27,Fault,Uniform
Dip, Prior distribution paramter 1, 27,Fault,60
Dip, Prior distribution paramter 2, 27,Fault,80
Dip Direction, Prior distribution type, 27,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 27,Fault,215.315911
Dip Direction, Prior distribution paramter 2, 27,Fault,235.315911
Slip, Prior distribution type, 27,Fault,Uniform
Slip, Prior distribution paramter 1, 27,Fault,73.2844936
Slip, Prior distribution paramter 2, 27,Fault,91.605617
X, Prior distribution type, 28,Fault,Uniform
X, Prior distribution paramter 1, 28,Fault,6867.15
X, Prior distribution paramter 2, 28,Fault,7127.15
Y, Prior distribution type, 28,Fault,Uniform
Y, Prior distribution paramter 1, 28,Fault,6546.82
Y, Prior distribution paramter 2, 28,Fault,6806.82
Z, Prior distribution type, 28,Fault,Uniform
Z, Prior distribution paramter 1, 28,Fault,3870.0
Z, Prior distribution paramter 2, 28,Fault,4130.0
XAxis, Prior distribution type, 28,Fault,Uniform
XAxis, Prior distribution paramter 1, 28,Fault,1087.8165
XAxis, Prior distribution paramter 2, 28,Fault,1202.3235
YAxis, Prior distribution type, 28,Fault,Uniform
YAxis, Prior distribution paramter 1, 28,Fault,1087.8165
YAxis, Prior distribution paramter 2, 28,Fault,1202.3235
ZAxis, Prior distribution type, 28,Fault,Uniform
ZAxis, Prior distribution paramter 1, 28,Fault,1087.8165
ZAxis, Prior distribution paramter 2, 28,Fault,1202.3235
Dip, Prior distribution type, 28,Fault,Uniform
Dip, Prior distribution paramter 1, 28,Fault,60
Dip, Prior distribution paramter 2, 28,Fault,80
Dip Direction, Prior distribution type, 28,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 28,Fault,215.32
Dip Direction, Prior distribution paramter 2, 28,Fault,235.32
Slip, Prior distribution type, 28,Fault,Uniform
Slip, Prior distribution paramter 1, 28,Fault,183.208
Slip, Prior distribution paramter 2, 28,Fault,229.01
